date, value
01-12-1970,17.963
01-01-1971,18.3678
01-02-1971,18.5345
01-03-1971,19.2165
01-04-1971,19.5395
01-05-1971,18.7274
01-06-1971,18.5526
01-07-1971,17.6022
01-08-1971,18.2376
01-09-1971,18.1105
01-10-1971,16.5316
01-11-1971,16.4895
01-12-1971,17.9105
01-01-1972,17.8898
01-02-1972,18.3425
01-03-1972,18.4509
01-04-1972,18.0352
01-05-1972,18.3467
01-06-1972,17.9464
01-07-1972,17.4902
01-08-1972,18.0928
01-09-1972,18.0049
01-10-1972,17.3801
01-11-1972,18.1729
01-12-1972,18.3879
01-01-1973,17.0632
01-02-1973,16.4235
01-03-1973,16.4
01-04-1973,14.7953
01-05-1973,14.5159
01-06-1973,14.4205
01-07-1973,14.0728
01-08-1973,13.5566
01-09-1973,14.1001
01-10-1973,13.2708
01-11-1973,11.7598
01-12-1973,11.9547
01-01-1974,11.5514
01-02-1974,11.5096
01-03-1974,11.2416
01-04-1974,10.333
01-05-1974,9.9863
01-06-1974,9.8398
01-07-1974,8.7058
01-08-1974,7.9199
01-09-1974,6.9748
01-10-1974,8.3127
01-11-1974,7.8706
01-12-1974,7.712
01-01-1975,9.1101
01-02-1975,9.6556
01-03-1975,9.8651
01-04-1975,10.9673
01-05-1975,11.451
01-06-1975,11.9585
01-07-1975,11.4369
01-08-1975,11.1959
01-09-1975,10.808
01-10-1975,11.1859
01-11-1975,11.4623
01-12-1975,11.3304
01-01-1976,11.6467
01-02-1976,11.5139
01-03-1976,11.8672
01-04-1976,10.9881
01-05-1976,10.8303
01-06-1976,11.2735
01-07-1976,10.8314
01-08-1976,10.7759
01-09-1976,11.0199
01-10-1976,10.3835
01-11-1976,10.3027
01-12-1976,10.8436
01-01-1977,10.122
01-02-1977,9.9028
01-03-1977,9.7639
01-04-1977,9.4472
01-05-1977,9.2246
01-06-1977,9.643
01-07-1977,9.2297
01-08-1977,9.0355
01-09-1977,9.0131
01-10-1977,8.4793
01-11-1977,8.708
01-12-1977,8.7328
01-01-1978,8.1731
01-02-1978,7.9707
01-03-1978,8.1694
01-04-1978,8.6224
01-05-1978,8.6589
01-06-1978,8.5067
01-07-1978,8.7018
01-08-1978,8.9274
01-09-1978,8.8626
01-10-1978,7.5547
01-11-1978,7.6805
01-12-1978,7.7948
01-01-1979,7.5135
01-02-1979,7.2391
01-03-1979,7.6383
01-04-1979,7.279
01-05-1979,7.0873
01-06-1979,7.3612
01-07-1979,7.0957
01-08-1979,7.4723
01-09-1979,7.4723
01-10-1979,6.852
01-11-1979,7.144
01-12-1979,7.2638
01-01-1980,7.4663
01-02-1980,7.4336
01-03-1980,6.6769
01-04-1980,7.1145
01-05-1980,7.4458
01-06-1980,7.6466
01-07-1980,8.3108
01-08-1980,8.3593
01-09-1980,8.5697
01-10-1980,8.6012
01-11-1980,9.4818
01-12-1980,9.1606
01-01-1981,8.8855
01-02-1981,9.0034
01-03-1981,9.3278
01-04-1981,8.8481
01-05-1981,8.8334
01-06-1981,8.7415
01-07-1981,8.5737
01-08-1981,8.0413
01-09-1981,7.6084
01-10-1981,7.9355
01-11-1981,8.2259
01-12-1981,7.9785
01-01-1982,8.1296
01-02-1982,7.6374
01-03-1982,7.5598
01-04-1982,8.2174
01-05-1982,7.8956
01-06-1982,7.7354
01-07-1982,7.8975
01-08-1982,8.8134
01-09-1982,8.8805
01-10-1982,10.5791
01-11-1982,10.9597
01-12-1982,11.1266
01-01-1983,11.6989
01-02-1983,11.9211
01-03-1983,12.3156
01-04-1983,13.0604
01-05-1983,12.8983
01-06-1983,13.3153
01-07-1983,12.2226
01-08-1983,12.3609
01-09-1983,12.4865
01-10-1983,11.6572
01-11-1983,11.8603
01-12-1983,11.7555
01-01-1984,10.7084
01-02-1984,10.2923
01-03-1984,10.4312
01-04-1984,9.8796
01-05-1984,9.2932
01-06-1984,9.4556
01-07-1984,9.0978
01-08-1984,10.0652
01-09-1984,10.0302
01-10-1984,9.9814
01-11-1984,9.8305
01-12-1984,10.0505
01-01-1985,10.9597
01-02-1985,11.0543
01-03-1985,11.0226
01-04-1985,11.5202
01-05-1985,12.1429
01-06-1985,12.2902
01-07-1985,12.5358
01-08-1985,12.3854
01-09-1985,11.9554
01-10-1985,12.9925
01-11-1985,13.8378
01-12-1985,14.4613
01-01-1986,14.5854
01-02-1986,15.6281
01-03-1986,16.4532
01-04-1986,16.0109
01-05-1986,16.8151
01-06-1986,17.0523
01-07-1986,15.9003
01-08-1986,17.0323
01-09-1986,15.5771
01-10-1986,16.8494
01-11-1986,17.2113
01-12-1986,16.7244
01-01-1987,18.151
01-02-1987,18.8212
01-03-1987,19.3179
01-04-1987,19.9972
01-05-1987,20.1179
01-06-1987,21.0818
01-07-1987,20.0921
01-08-1987,20.7945
01-09-1987,20.2919
01-10-1987,14.388
01-11-1987,13.16
01-12-1987,14.1189
01-01-1988,13.8284
01-02-1988,14.4067
01-03-1988,13.9263
01-04-1988,12.0595
01-05-1988,12.0978
01-06-1988,12.6211
01-07-1988,11.9674
01-08-1988,11.5055
01-09-1988,11.9626
01-10-1988,11.7461
01-11-1988,11.5242
01-12-1988,11.6935
01-01-1989,11.9179
01-02-1989,11.5729
01-03-1989,11.8137
01-04-1989,12.2776
01-05-1989,12.709
01-06-1989,12.6082
01-07-1989,14.6087
01-08-1989,14.8354
01-09-1989,14.7383
01-10-1989,14.8824
01-11-1989,15.1286
01-12-1989,15.4526
01-01-1990,15.186
01-02-1990,15.3156
01-03-1990,15.6871
01-04-1990,15.5597
01-05-1990,16.9911
01-06-1990,16.8401
01-07-1990,16.3822
01-08-1990,14.8372
01-09-1990,14.0777
01-10-1990,14.2455
01-11-1990,15.0993
01-12-1990,15.4742
01-01-1991,16.4245
01-02-1991,17.5296
01-03-1991,17.9188
01-04-1991,19.3375
01-05-1991,20.084
01-06-1991,19.1221
01-07-1991,21.7626
01-08-1991,22.1902
01-09-1991,21.7654
01-10-1991,24.5742
01-11-1991,23.4953
01-12-1991,26.1171
01-01-1992,25.2489
01-02-1992,25.491
01-03-1992,24.9345
01-04-1992,24.3372
01-05-1992,24.3607
01-06-1992,23.9378
01-07-1992,23.515
01-08-1992,22.9507
01-09-1992,23.1596
01-10-1992,21.9319
01-11-1992,22.5956
01-12-1992,22.824
01-01-1993,22.1159
01-02-1993,22.3478
01-03-1993,22.7656
01-04-1993,22.7724
01-05-1993,23.2897
01-06-1993,23.3073
01-07-1993,21.9564
01-08-1993,22.7124
01-09-1993,22.4855
01-10-1993,21.3719
01-11-1993,21.0959
01-12-1993,21.3088
01-01-1994,21.207
01-02-1994,20.5698
01-03-1994,19.6288
01-04-1994,17.8933
01-05-1994,18.1151
01-06-1994,17.6298
01-07-1994,16.7677
01-08-1994,17.3981
01-09-1994,16.9305
01-10-1994,15.4363
01-11-1994,14.8265
01-12-1994,15.0088
01-01-1995,14.4522
01-02-1995,14.9736
01-03-1995,15.3828
01-04-1995,14.9495
01-05-1995,15.4923
01-06-1995,15.822
01-07-1995,15.9767
01-08-1995,15.9716
01-09-1995,16.612
