Date,Regime
09-01-2004,Normal
10-01-2004,Normal
11-01-2004,Normal
12-01-2004,Normal
01-01-2005,Normal
02-01-2005,Normal
03-01-2005,Normal
04-01-2005,Normal
05-01-2005,Normal
06-01-2005,Normal
07-01-2005,Normal
08-01-2005,Normal
09-01-2005,Normal
10-01-2005,Normal
11-01-2005,Normal
12-01-2005,Normal
01-01-2006,Normal
02-01-2006,Normal
03-01-2006,Normal
04-01-2006,Normal
05-01-2006,Normal
06-01-2006,Normal
07-01-2006,Normal
08-01-2006,Normal
09-01-2006,Normal
10-01-2006,Normal
11-01-2006,Normal
12-01-2006,Normal
01-01-2007,Normal
02-01-2007,Normal
03-01-2007,Normal
04-01-2007,Normal
05-01-2007,Normal
06-01-2007,Normal
07-01-2007,Normal
08-01-2007,Normal
09-01-2007,Normal
10-01-2007,Normal
11-01-2007,Normal
12-01-2007,Recession
01-01-2008,Recession
02-01-2008,Recession
03-01-2008,Recession
04-01-2008,Recession
05-01-2008,Recession
06-01-2008,Recession
07-01-2008,Recession
08-01-2008,Recession
09-01-2008,Recession
10-01-2008,Recession
11-01-2008,Recession
12-01-2008,Recession
01-01-2009,Recession
02-01-2009,Recession
03-01-2009,Recession
04-01-2009,Recession
05-01-2009,Recession
06-01-2009,Normal
07-01-2009,Normal
08-01-2009,Normal
09-01-2009,Normal
10-01-2009,Normal
11-01-2009,Normal
12-01-2009,Normal
01-01-2010,Normal
02-01-2010,Normal
03-01-2010,Normal
04-01-2010,Normal
05-01-2010,Normal
06-01-2010,Normal
07-01-2010,Normal
08-01-2010,Normal
09-01-2010,Normal
10-01-2010,Normal
11-01-2010,Normal
12-01-2010,Normal
01-01-2011,Normal
02-01-2011,Normal
03-01-2011,Normal
04-01-2011,Normal
05-01-2011,Normal
06-01-2011,Normal
07-01-2011,Normal
08-01-2011,Normal
09-01-2011,Normal
10-01-2011,Normal
11-01-2011,Normal
12-01-2011,Normal
01-01-2012,Normal
02-01-2012,Normal
03-01-2012,Normal
04-01-2012,Normal
05-01-2012,Normal
06-01-2012,Normal
07-01-2012,Normal
08-01-2012,Normal
09-01-2012,Normal
10-01-2012,Normal
11-01-2012,Normal
12-01-2012,Normal
01-01-2013,Normal
02-01-2013,Normal
03-01-2013,Normal
04-01-2013,Normal
05-01-2013,Normal
06-01-2013,Normal
07-01-2013,Normal
08-01-2013,Normal
09-01-2013,Normal
10-01-2013,Normal
11-01-2013,Normal
12-01-2013,Normal
01-01-2014,Normal
02-01-2014,Normal
03-01-2014,Normal
04-01-2014,Normal
05-01-2014,Normal
06-01-2014,Normal
07-01-2014,Normal
08-01-2014,Normal
09-01-2014,Normal
10-01-2014,Normal
11-01-2014,Normal
12-01-2014,Normal
01-01-2015,Normal
02-01-2015,Normal
03-01-2015,Normal
04-01-2015,Normal
05-01-2015,Normal
06-01-2015,Normal
07-01-2015,Normal
08-01-2015,Normal
09-01-2015,Normal
10-01-2015,Normal
11-01-2015,Normal
12-01-2015,Normal
01-01-2016,Normal
02-01-2016,Normal
03-01-2016,Normal
04-01-2016,Normal
05-01-2016,Normal
06-01-2016,Normal
07-01-2016,Normal
08-01-2016,Normal
09-01-2016,Normal
10-01-2016,Normal
11-01-2016,Normal
12-01-2016,Normal
01-01-2017,Normal
02-01-2017,Normal
03-01-2017,Normal
04-01-2017,Normal
05-01-2017,Normal
06-01-2017,Normal
07-01-2017,Normal
08-01-2017,Normal
09-01-2017,Normal
10-01-2017,Normal
11-01-2017,Normal
12-01-2017,Normal
01-01-2018,Normal
02-01-2018,Normal
03-01-2018,Normal
04-01-2018,Normal
05-01-2018,Normal
06-01-2018,Normal
07-01-2018,Normal
08-01-2018,Normal
09-01-2018,Normal
10-01-2018,Normal
11-01-2018,Normal
12-01-2018,Normal
01-01-2019,Normal
02-01-2019,Normal
03-01-2019,Normal
04-01-2019,Normal
05-01-2019,Normal
06-01-2019,Normal
07-01-2019,Normal
08-01-2019,Normal
09-01-2019,Normal
10-01-2019,Normal
11-01-2019,Normal
12-01-2019,Normal
01-01-2020,Normal
02-01-2020,Normal
03-01-2020,Recession
04-01-2020,Recession
05-01-2020,Recession
06-01-2020,Recession
