prediction;test_price
124.91;115.81
125.64;116.79
125.14;113.02
124.25;116.5
122.44;113.16
123.14;115.08
122.7;114.97
123.61;116.97
123.59;124.4
123.53;121.1
124.21;121.19
124.25;120.71
124.29;119.02
123.77;115.98
124.72;117.51
123.67;116.87
124.01;115.75
124.62;115.04
123.95;115.05
126.17;116.6
125.66;111.2
125.33;115.32
126.56;108.86
124.59;108.77
124.76;110.44
123.91;114.95
124.55;119.03
124.49;118.69
126.18;116.32
126.79;115.97
126.27;119.49
125.77;119.21
125.16;119.26
124.84;120.3
125.11;119.39
124.71;118.03
124.4;118.64
124.7;117.34
127.58;113.85
126.03;115.17
124.69;116.03
123.55;116.59
123.65;119.05
122.34;122.72
122.82;123.08
122.01;122.94
122.31;122.25
123.01;123.75
122.55;124.38
125.35;121.78
125.58;123.24
125.91;122.41
124.87;121.78
125.32;127.88
128.51;127.81
126.83;128.7
128.82;126.66
130.51;128.23
130.66;131.88
132.8;130.96
132.37;131.97
133.21;136.69
131.37;134.87
134.57;133.72
135.71;132.69
136.99;129.41
138.72;131.01
138.53;126.6
139.3;130.92
142.08;132.05
139.95;128.98
141.21;128.8
140.75;130.89
140.22;128.91
139.04;127.14
139.03;127.83
139.59;132.03
140.07;136.87
138.14;139.07
139.14;142.92
140.65;143.16
143.12;142.06
145.04;137.09
144.06;131.96
143.04;134.14
141.84;134.99
142.35;133.94
141.07;137.39
141.47;136.76
142.88;136.91
143.46;136.01
144.18;135.39
144.63;135.13
144.48;135.37
144.83;133.19
144.76;130.84
144.46;129.71
142.6;129.87
143.68;126.0
140.89;125.86
140.05;125.35
140.52;120.99
138.39;121.26
136.97;127.79
136.09;125.12
133.98;122.06
131.49;120.13
129.8;121.42
131.25;116.36
128.98;121.09
128.91;119.98
128.73;121.96
127.45;121.03
126.36;123.99
125.74;125.57
124.7;124.76
126.33;120.53
127.4;119.99
126.59;123.39
127.7;122.54
126.18;120.09
126.32;120.59
123.53;121.21
123.28;121.39
121.98;119.9
121.58;122.15
122.02;123.0
122.28;125.9
122.8;126.21
124.05;127.9
123.46;130.36
123.31;133.0
122.26;131.24
122.95;134.43
121.43;132.03
122.47;134.5
123.08;134.16
124.8;134.84
126.96;133.11
127.14;133.5
126.93;131.94
126.91;134.32
129.25;134.72
131.72;134.39
132.2;133.58
132.98;133.48
133.98;131.46
133.73;132.54
135.46;127.85
136.98;128.1
136.84;129.74
135.51;130.21
135.09;126.85
137.63;125.91
136.15;122.77
136.47;124.97
134.27;127.45
133.4;126.27
133.83;124.85
132.86;124.69
129.67;127.31
129.77;125.43
128.27;127.1
128.21;126.9
128.09;126.85
125.8;125.28
124.28;124.61
121.72;124.28
123.55;125.06
123.3;123.54
123.65;125.89
123.23;125.9
124.2;126.74
123.52;127.13
122.12;126.11
122.38;127.35
123.95;130.48
123.45;129.64
124.1;130.15
124.0;131.79
124.78;130.46
124.89;132.3
123.97;133.98
125.49;133.7
125.85;133.41
126.31;133.11
126.04;134.78
127.27;136.33
126.9;136.96
128.78;137.27
129.87;139.96
131.18;142.02
129.93;144.57
132.49;143.24
131.55;145.11
132.56;144.5
134.64;145.64
137.41;149.15
139.62;148.48
141.74;146.39
142.64;142.45
144.03;146.15
145.56;145.4
146.1;146.8
144.81;148.56
145.26;148.99
145.97;146.77
147.4;144.98
148.3;145.64
147.02;145.86
149.36;145.52
149.52;147.36
148.92;146.95
147.3;147.06
146.67;146.14
146.84;146.09
146.99;145.6
145.41;145.86
148.25;148.89
148.04;149.1
147.85;151.12
148.47;150.19
148.59;146.36
147.23;146.7
146.14;148.19
148.4;149.71
149.73;149.62
150.34;148.36
151.53;147.54
150.63;148.6
150.31;153.12
152.14;151.83
151.29;152.51
152.03;153.65
152.62;154.3
151.91;156.69
153.2;155.11
154.94;154.07
155.38;148.97
153.75;149.55
152.85;148.12
151.89;149.03
152.5;148.79
153.43;146.06
153.05;142.94
151.78;143.43
150.89;145.85
152.54;146.83
151.86;146.92
151.12;145.37
150.06;141.91
149.68;142.83
149.73;141.5
150.25;142.65
150.51;139.14
150.09;141.11
148.85;142.0
148.12;143.29
148.12;142.9
147.77;142.81
147.18;141.51
147.27;140.91
146.34;143.76
146.52;144.84
145.21;146.55
145.99;148.76
144.63;149.26
143.7;149.48
143.55;148.69
144.14;148.64
144.54;149.32
143.68;148.85
143.62;152.57
145.31;149.8
145.5;148.96
145.65;150.02
146.15;151.49
144.85;150.96
145.2;151.28
146.38;150.44
147.74;150.81
147.6;147.92
146.43;147.87
146.08;149.99
146.84;150.0
148.46;151.0
149.43;153.49
149.01;157.87
150.29;160.55
151.52;161.02
152.48;161.41
152.89;161.94
153.89;156.81
152.23;160.24
152.46;165.3
152.79;164.77
154.91;163.76
155.15;161.84
156.6;165.32
157.26;171.18
158.94;175.08
161.02;174.56
162.35;179.45
162.84;175.74
164.88;174.33
165.83;179.3
166.95;172.26
169.17;171.14
171.12;169.75
169.83;172.99
171.48;175.64
174.53;176.28
174.19;180.33
176.23;179.29
178.16;179.38
179.86;178.2
181.19;177.57
181.25;182.01
181.76;179.7
181.84;174.92
182.12;172.0
181.04;172.17
181.2;172.19
179.87;175.08
179.53;175.53
182.08;172.19
184.01;173.07
183.78;169.8
181.82;166.23
180.96;164.51
179.97;162.41
177.87;161.62
176.38;159.78
174.86;159.69
173.38;159.22
171.31;170.33
171.24;174.78
171.22;174.61
170.93;175.84
171.73;172.9
172.11;172.39
171.98;171.66
170.62;174.83
170.71;176.28
171.23;172.12
169.35;168.64
170.47;168.88
166.42;172.79
168.7;172.55
170.39;168.88
170.55;167.3
171.53;164.32
170.6;160.07
169.37;162.74
167.64;164.85
168.54;165.12
167.68;163.2
167.47;166.56
167.02;166.23
166.03;163.17
167.55;159.3
165.13;157.44
165.22;162.95
166.34;158.52
166.47;154.73
165.4;150.62
161.77;155.09
160.64;159.59
161.09;160.62
160.82;163.98
163.03;165.38
161.18;168.82
159.56;170.21
159.56;174.07
162.9;174.72
163.98;175.6
163.99;178.96
162.57;177.77
164.08;174.61
165.25;174.31
165.69;178.44
166.93;175.06
167.81;171.83
169.49;172.14
169.16;170.09
169.18;165.75
171.08;167.66
171.1;170.4
169.28;165.29
168.34;165.07
168.1;167.4
165.04;167.23
162.37;166.42
164.77;161.79
165.22;162.88
164.85;156.8
162.47;156.57
162.64;163.64
161.61;157.65
159.13;157.96
161.59;159.48
160.73;166.02
159.1;156.77
158.5;157.28
158.03;152.06
157.18;154.51
155.84;146.5
155.87;142.56
153.75;147.11
151.36;145.54
148.61;149.24
148.03;140.82
146.4;137.35
142.72;137.59
141.21;143.11
137.44;140.36
137.65;140.52
136.38;143.78
136.48;149.64
136.53;148.84
133.25;148.71
133.76;151.21
133.42;145.38
133.63;146.14
131.24;148.71
129.89;147.96
130.25;142.64
130.29;137.13
130.63;131.88
125.71;132.76
126.88;135.43
126.54;130.06
129.05;131.56
127.7;135.87
126.08;135.35
124.87;138.27
124.21;141.66
125.4;141.66
126.33;137.44
123.96;139.23
123.29;136.72
122.35;138.93
123.39;141.56
122.5;142.92
121.71;146.35
123.69;147.04
124.23;144.87
126.85;145.86
123.92;145.49
125.19;148.47
125.23;150.17
124.52;147.07
124.17;151.0
