,Date,AAPL,AAPL.1,AAPL.2,AAPL.3,AAPL.4
0,,Open,High,Low,Close,Adj Close
97,2010-05-03 0:00,9.422857285,9.56714344,9.388570786,9.512499809,8.085080147
98,2010-05-04 0:00,9.388929367,9.403214455,9.169643402,9.238571167,7.852257252
99,2010-05-05 0:00,9.036786079,9.219285965,8.883213997,9.142499924,7.770599365
100,2010-05-06 0:00,9.065357208,9.223214149,7.116071224,8.794643402,7.474944115
101,2010-05-07 0:00,8.703928947,8.806071281,8.043213844,8.423570633,7.159552097
102,2010-05-09 0:00,,,,,
103,2010-05-10 0:00,8.9375,9.094642639,8.876070976,9.071070671,7.709888935
104,2010-05-11 0:00,8.994285583,9.281785965,8.946429253,9.161429405,7.786691189
105,2010-05-12 0:00,9.258570671,9.397500038,9.239286423,9.360357285,7.955768585
106,2010-05-13 0:00,9.400713921,9.464285851,9.157142639,9.227143288,7.842546463
107,2010-05-14 0:00,9.112856865,9.159999847,8.910714149,9.06499958,7.704730988
108,2010-05-16 0:00,,,,,
109,2010-05-17 0:00,9.096428871,9.14928627,8.846785545,9.079285622,7.716874599
110,2010-05-18 0:00,9.177857399,9.23392868,8.937856674,9.012857437,7.660412312
111,2010-05-19 0:00,8.910714149,9.032856941,8.744643211,8.869285583,7.538383484
112,2010-05-20 0:00,8.638570786,8.708929062,8.436071396,8.491429329,7.21723032
113,2010-05-21 0:00,8.31499958,8.732143402,8.262499809,8.654286385,7.355648518
114,2010-05-23 0:00,,,,,
115,2010-05-24 0:00,8.831428528,8.96071434,8.795000076,8.812856674,7.490422249
116,2010-05-25 0:00,8.548213959,8.812856674,8.470000267,8.757857323,7.443676949
117,2010-05-26 0:00,8.931428909,9.00464344,8.705356598,8.718214035,7.409981251
118,2010-05-27 0:00,8.949999809,9.067500114,8.896785736,9.048213959,7.69046545
119,2010-05-28 0:00,9.263929367,9.264286041,9.048213959,9.174285889,7.797618389
120,2010-05-30 0:00,,,,,
121,2010-05-31 0:00,,,,,
122,2010-06-01 0:00,9.274642944,9.497857094,9.248571396,9.315357208,7.917524338
123,2010-06-02 0:00,9.447856903,9.45714283,9.297499657,9.426786423,8.012227058
124,2010-06-03 0:00,9.470713615,9.48392868,9.300356865,9.397143364,7.987036705
125,2010-06-04 0:00,9.221785545,9.353570938,9.093929291,9.141428947,7.769692898
126,2010-06-06 0:00,,,,,
127,2010-06-07 0:00,9.224642754,9.255356789,8.948213577,8.962142944,7.61730814
128,2010-06-08 0:00,9.044285774,9.064286232,8.77321434,8.904643059,7.568438053
129,2010-06-09 0:00,8.981071472,8.996429443,8.660357475,8.685713768,7.382359505
130,2010-06-10 0:00,8.744285583,8.963570595,8.649999619,8.946785927,7.604254246
131,2010-06-11 0:00,8.865357399,9.066429138,8.834643364,9.053929329,7.695320606
132,2010-06-13 0:00,,,,,
133,2010-06-14 0:00,9.141428947,9.255356789,9.071785927,9.081428528,7.718695641
134,2010-06-15 0:00,9.130000114,9.280357361,9.125,9.274642944,7.882914543
135,2010-06-16 0:00,9.324999809,9.5625,9.308214188,9.544643402,8.112401962
136,2010-06-17 0:00,9.66428566,9.746429443,9.625,9.709643364,8.252640724
137,2010-06-18 0:00,9.723214149,9.821429253,9.693571091,9.78821373,8.319419861
138,2010-06-20 0:00,,,,,
139,2010-06-21 0:00,9.917499542,9.964642525,9.597499847,9.648928642,8.201038361
140,2010-06-22 0:00,9.720000267,9.856071472,9.696429253,9.780357361,8.31274128
141,2010-06-23 0:00,9.806428909,9.809286118,9.567856789,9.677499771,8.22532177
142,2010-06-24 0:00,9.678570747,9.757143021,9.574999809,9.607143402,8.165522575
143,2010-06-25 0:00,9.645000458,9.652500153,9.493213654,9.524999619,8.095704079
